epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1424.67,1.0267,0.84678,1.43123,0.94824,0.78417,0.90131,0.60018,0.90423,0.75693,1.13144,0.000643101,0.000643101,0.000643101
43,1463.61,1.04527,0.89388,1.44403,0.92656,0.81687,0.90164,0.60375,0.90995,0.92707,1.1282,0.000628101,0.000628101,0.000628101
44,1503.32,1.03892,0.84326,1.44704,0.94426,0.79856,0.90637,0.62937,0.82488,0.63743,1.01851,0.000612981,0.000612981,0.000612981
45,1542.28,1.0111,0.84291,1.42105,0.9027,0.82734,0.89351,0.62374,0.81031,0.64895,0.9922,0.000597754,0.000597754,0.000597754
46,1581.69,1.03775,0.82654,1.42963,0.91911,0.81747,0.90727,0.62111,0.87145,0.62942,1.05167,0.000582435,0.000582435,0.000582435
47,1620.58,1.02566,0.85536,1.43757,0.94164,0.81258,0.90191,0.6312,0.8451,0.62771,1.14682,0.00056704,0.00056704,0.00056704
48,1659.48,0.99262,0.79648,1.3861,0.92144,0.80576,0.90697,0.61794,0.88383,0.62191,1.10109,0.000551584,0.000551584,0.000551584
49,1698.82,1.02945,0.86022,1.424,0.90741,0.79856,0.89248,0.59908,0.85643,0.80249,1.05774,0.000536081,0.000536081,0.000536081
50,1738.29,0.97344,0.80824,1.37529,0.93172,0.78541,0.88375,0.60627,0.86799,0.67984,1.075,0.000520548,0.000520548,0.000520548
51,1777.73,0.9861,0.83504,1.40783,0.97444,0.84173,0.92007,0.62622,0.84638,0.59277,1.04491,0.000505,0.000505,0.000505
52,1817.14,0.96238,0.76409,1.39833,0.93599,0.84152,0.92779,0.65367,0.82287,0.61761,1.01598,0.000489452,0.000489452,0.000489452
53,1856.18,0.9603,0.76203,1.36835,0.9259,0.80909,0.90498,0.63377,0.85107,0.66506,1.06019,0.000473919,0.000473919,0.000473919
54,1895.16,0.97033,0.74461,1.384,0.85555,0.86331,0.92066,0.63878,0.76605,0.63299,0.9858,0.000458416,0.000458416,0.000458416
55,1934.68,0.92803,0.69273,1.35624,0.92575,0.82734,0.92089,0.65414,0.75761,0.6364,0.97821,0.00044296,0.00044296,0.00044296
56,1973.88,0.94263,0.77226,1.35857,0.90044,0.84586,0.93572,0.64335,0.78865,0.59122,1.00557,0.000427565,0.000427565,0.000427565
57,2013.22,0.93012,0.71276,1.34945,0.91389,0.83991,0.92439,0.64128,0.81859,0.65121,1.01302,0.000412246,0.000412246,0.000412246
58,2052.47,0.94756,0.72728,1.36248,0.90858,0.84892,0.92837,0.65502,0.79296,0.75156,1.0211,0.000397019,0.000397019,0.000397019
59,2091.91,0.91728,0.70096,1.34562,0.93714,0.82734,0.93416,0.65993,0.77617,0.63713,0.98482,0.000381899,0.000381899,0.000381899
60,2131.56,0.948,0.73571,1.36045,0.88695,0.84664,0.91804,0.64463,0.80603,0.6306,1.03114,0.000366899,0.000366899,0.000366899
61,2171.36,0.88718,0.68725,1.31007,0.87203,0.89928,0.92608,0.64166,0.82429,0.67217,1.0436,0.000352037,0.000352037,0.000352037
62,2210.44,0.88694,0.70457,1.31885,0.98267,0.81591,0.91937,0.64309,0.87029,0.66426,1.07937,0.000337325,0.000337325,0.000337325
63,2249.6,0.87192,0.65003,1.28135,0.92344,0.84892,0.92581,0.63682,0.88915,0.6506,1.11009,0.000322778,0.000322778,0.000322778
64,2289.1,0.87112,0.65468,1.3173,0.90836,0.88489,0.93385,0.63194,0.92036,0.58286,1.08455,0.000308412,0.000308412,0.000308412
65,2328.62,0.88138,0.67877,1.2953,0.96608,0.81951,0.92758,0.62546,0.86834,0.66191,1.05848,0.000294239,0.000294239,0.000294239
66,2367.78,0.83263,0.62586,1.27021,0.93669,0.85612,0.9433,0.64522,0.86979,0.63414,1.05914,0.000280275,0.000280275,0.000280275
67,2407.42,0.84998,0.63204,1.2768,0.90455,0.88628,0.93566,0.64064,0.84014,0.56003,1.05673,0.000266532,0.000266532,0.000266532
68,2447,0.86935,0.629,1.29175,0.9758,0.87022,0.94108,0.67766,0.87904,0.49267,1.12552,0.000253024,0.000253024,0.000253024
