epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,769.558,1.2971,0.69668,1.67176,0.79976,0.81381,0.83624,0.40373,1.77632,1.03374,2.69844,0.000678463,0.000678463,0.000678463
43,877.297,1.28685,0.70101,1.66776,0.85886,0.81071,0.8916,0.42125,1.83837,0.97733,2.75062,0.000672805,0.000672805,0.000672805
44,984.88,1.28201,0.67862,1.64545,0.84815,0.7879,0.86769,0.43104,1.74547,1.06078,2.63964,0.000667044,0.000667044,0.000667044
45,1091.99,1.27242,0.67302,1.64545,0.86801,0.8246,0.89951,0.43532,1.76318,0.98265,2.70266,0.000661181,0.000661181,0.000661181
46,1202.29,1.26725,0.66745,1.63356,0.86728,0.79892,0.89153,0.44744,1.72729,1.02233,2.64833,0.00065522,0.00065522,0.00065522
47,1312.48,1.26223,0.68111,1.63102,0.83875,0.80716,0.85352,0.42378,1.7259,1.10247,2.64037,0.000649161,0.000649161,0.000649161
48,1422.68,1.2539,0.65781,1.62413,0.87837,0.84897,0.91481,0.44123,1.72929,0.98526,2.62962,0.000643008,0.000643008,0.000643008
49,1533.33,1.25642,0.65271,1.61902,0.89346,0.82915,0.91204,0.47424,1.71683,0.88795,2.63483,0.000636763,0.000636763,0.000636763
50,1644.51,1.22425,0.64427,1.58647,0.85037,0.79781,0.88343,0.45682,1.75115,0.94758,2.69686,0.000630428,0.000630428,0.000630428
51,1756.99,1.2287,0.64026,1.59632,0.84968,0.83284,0.89453,0.45076,1.72436,0.97411,2.69181,0.000624006,0.000624006,0.000624006
52,1869.08,1.24567,0.64965,1.59736,0.8696,0.82576,0.90063,0.46284,1.7317,0.92084,2.6661,0.000617499,0.000617499,0.000617499
53,1978.56,1.20307,0.62211,1.57263,0.85891,0.83699,0.90337,0.46935,1.71313,0.89841,2.66672,0.000610909,0.000610909,0.000610909
54,2090.64,1.19686,0.62913,1.56172,0.86096,0.83467,0.8944,0.45094,1.71428,0.94674,2.68447,0.00060424,0.00060424,0.00060424
55,2202.38,1.21545,0.62814,1.56437,0.83116,0.80564,0.88063,0.44123,1.73844,0.95753,2.719,0.000597494,0.000597494,0.000597494
56,2313.27,1.19951,0.62632,1.56917,0.86098,0.83856,0.88259,0.45324,1.70585,0.92635,2.67621,0.000590673,0.000590673,0.000590673
57,2425.58,1.19043,0.61761,1.54626,0.85711,0.86364,0.90818,0.46733,1.70732,0.90534,2.66921,0.00058378,0.00058378,0.00058378
58,2536.96,1.18729,0.60431,1.5518,0.90503,0.83644,0.9177,0.4783,1.71256,0.87984,2.66253,0.000576818,0.000576818,0.000576818
59,2648.86,1.17068,0.60704,1.53171,0.8797,0.84814,0.91602,0.47837,1.67661,0.92279,2.65771,0.000569789,0.000569789,0.000569789
60,2760.83,1.16956,0.59506,1.52031,0.89948,0.85266,0.91805,0.47864,1.69118,0.90326,2.65978,0.000562697,0.000562697,0.000562697
61,2871.64,1.17485,0.59265,1.51269,0.90368,0.82915,0.9106,0.4669,1.71073,0.94938,2.7463,0.000555543,0.000555543,0.000555543
62,2982.57,1.16726,0.5878,1.51675,0.87041,0.87379,0.91808,0.48546,1.69549,0.87234,2.73957,0.00054833,0.00054833,0.00054833
63,3093.67,1.15597,0.58982,1.50446,0.89175,0.85224,0.91743,0.48521,1.67105,0.89324,2.68355,0.000541062,0.000541062,0.000541062
